,,,,,Deaths,,,,,,,,,,,DALYs,,,,,,,,,,,HYL,,,,,,,,,,,YLD,,,,,,,,,,,Prevalence,,,,,,,,,
Country Name,Income Status,ISO3,GBD Code,,DNull,D1,D2,D3,D5,D6,D7,D8,D9,D10,,DNull,D1,D2,D3,D5,D6,D7,D8,D9,D10,,DNull,D1,D2,D3,D5,D6,D7,D8,D9,D10,,DNull,D1,D2,D3,D5,D6,D7,D8,D9,D10,,DNull,D1,D2,D3,D5,D6,D7,D8,D9,D10
Colombia,UMIC,COL,125,,"52,269,168","52,183,721","52,219,620","51,970,710","52,263,415",,,,,,,"1,758,944,678","1,757,119,537","1,757,646,464","1,737,797,309","1,750,915,041",,,,,,,"3,978,896,842","3,980,390,241","3,979,976,944","3,998,800,772","3,986,907,246",,,,,,,"686,813,631","687,211,073","687,034,739","674,318,721","679,007,592",,,,,,,"4,665,710,474","4,667,601,314","4,667,011,683","4,673,119,493","4,665,914,839",,,,,
Côte d'Ivoire,LMIC,CIV,205,,"83,997,961","83,992,843","83,994,702","83,965,946","83,988,999",,,,,,,"4,611,795,645","4,611,282,282","4,611,540,745","4,605,014,939","4,608,637,924",,,,,,,"6,149,719,651","6,150,168,209","6,149,935,052","6,156,072,804","6,152,737,356",,,,,,,"931,319,260","931,449,541","931,367,715","927,585,440","928,934,536",,,,,,,"7,081,038,910","7,081,617,749","7,081,302,767","7,083,658,244","7,081,671,891",,,,,
Cuba,UMIC,CUB,109,,"10,996,093","10,973,826","10,978,201","10,903,966","11,000,763",,,,,,,"351,417,225","350,909,173","350,935,619","346,561,995","350,145,201",,,,,,,"655,876,779","656,306,056","656,289,669","660,390,249","657,165,275",,,,,,,"152,943,319","153,126,992","153,090,158","151,185,817","151,550,492",,,,,,,"808,820,098","809,433,048","809,379,827","811,576,066","808,715,767",,,,,
Democratic People's Republic of Korea,LIC,PRK,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,LIC,COD,171,,"312,990,662","312,895,229","312,973,268","312,699,831","312,907,553",,,,,,,"18,573,185,663","18,569,168,575","18,572,502,481","13,815,367,370","18,554,971,491",,,,,,,"24,765,210,267","24,768,005,661","24,765,721,768","24,798,480,289","24,782,377,093",,,,,,,"3,958,377,687","3,959,362,564","3,958,518,804","3,936,448,833","3,944,513,902",,,,,,,"28,723,587,954","28,727,368,225","28,724,240,572","28,734,929,122","28,726,890,995",,,,,
Dominican Republic,UMIC,DOM,111,,"13,085,016","13,074,540","13,076,242","13,021,995","13,077,521",,,,,,,"518,990,305","518,706,199","518,710,413","515,519,313","517,881,664",,,,,,,"1,011,064,615","1,011,280,928","1,011,286,227","1,014,129,456","1,012,123,520",,,,,,,"196,299,642","196,365,898","196,341,123","195,045,148","195,481,058",,,,,,,"1,207,364,258","1,207,646,825","1,207,627,350","1,209,174,604","1,207,604,578",,,,,
Ecuador,UMIC,ECU,122,,"20,661,615","20,641,485","20,648,898","20,552,948","20,639,874",,,,,,,"776,617,281","776,212,395","776,281,493","770,043,662","773,818,016",,,,,,,"1,859,888,179","1,860,205,863","1,860,154,817","1,865,898,340","1,862,569,467",,,,,,,"307,508,390","307,560,232","307,542,608","303,948,623","305,350,905",,,,,,,"2,167,396,569","2,167,766,095","2,167,697,425","2,169,846,963","2,167,920,372",,,,,
Egypt,LMIC,EGY,141,,"178,510,501","178,443,262","178,461,150","178,125,385","178,444,298",,,,,,,"6,871,991,162","6,869,346,964","6,869,716,794","6,827,941,641","6,853,504,439",,,,,,,"16,381,017,315","16,383,515,476","16,383,036,398","16,422,775,953","16,398,815,341",,,,,,,"2,477,829,087","2,478,423,510","2,478,044,422","2,453,501,176","2,463,130,703",,,,,,,"18,858,846,402","18,861,938,986","18,861,080,820","18,876,277,129","18,861,946,044",,,,,
Eritrea,LIC,ERI,178,,"7,819,914","7,818,310","7,819,304","7,811,357","7,817,167",,,,,,,"360,920,376","360,844,600","360,890,856","267,673,040","360,497,057",,,,,,,"669,409,006","669,466,289","669,431,900","670,213,729","669,799,495",,,,,,,"107,373,853","107,388,511","107,377,288","106,948,963","107,108,477",,,,,,,"776,782,859","776,854,800","776,809,188","777,162,692","776,907,973",,,,,
Ethiopia,LIC,ETH,179,,"243,035,375","242,988,610","243,017,653","242,804,200","242,966,242",,,,,,,"11,430,855,597","11,428,883,472","11,430,067,624","8,866,044,938","11,420,758,049",,,,,,,"20,263,884,058","20,265,407,557","20,264,505,218","20,283,853,058","20,273,373,677",,,,,,,"3,347,905,275","3,348,312,815","3,348,022,807","3,337,627,366","3,341,390,132",,,,,,,"23,611,789,332","23,613,720,373","23,612,528,025","23,621,480,424","23,614,763,809",,,,,
