,,,,,Deaths,,,,,,,,,,,DALYs,,,,,,,,,,,HYL,,,,,,,,,,,YLD,,,,,,,,,,,Prevalence,,,,,,,,,
Country Name,Income Status,ISO3,GBD Code,,DNull,D1,D2,D3,D5,D6,D7,D8,D9,D10,,DNull,D1,D2,D3,D5,D6,D7,D8,D9,D10,,DNull,D1,D2,D3,D5,D6,D7,D8,D9,D10,,DNull,D1,D2,D3,D5,D6,D7,D8,D9,D10,,DNull,D1,D2,D3,D5,D6,D7,D8,D9,D10
South Africa,UMIC,ZAF,196,,"96,942,669","96,921,690","96,930,935","96,842,841","96,922,598",,,,,,,"3,712,245,714","3,710,203,663","3,711,265,455","3,695,163,091","3,705,607,087",,,,,,,"5,963,446,962","5,965,254,610","5,964,308,443","5,980,018,585","5,970,158,979",,,,,,,"1,062,559,801","1,063,112,611","1,062,764,706","1,055,405,076","1,057,665,082",,,,,,,"7,026,006,763","7,028,367,220","7,027,073,149","7,035,423,662","7,027,824,062",,,,,
South Sudan,LIC,SSD,435,,"31,919,683","31,915,125","31,917,941","31,899,691","31,914,387",,,,,,,"1,725,147,983","1,724,917,881","1,725,058,377","1,237,682,857","1,724,025,550",,,,,,,"2,223,482,080","2,223,658,812","2,223,552,491","2,225,735,882","2,224,552,254",,,,,,,"343,423,757","343,475,209","343,438,161","342,148,236","342,613,999",,,,,,,"2,566,905,837","2,567,134,020","2,566,990,653","2,567,884,118","2,567,166,254",,,,,
Sri Lanka,LMIC,LKA,17,,"25,368,537","25,335,510","25,351,753","25,225,606","25,342,612",,,,,,,"807,305,930","806,462,758","806,771,047","796,540,400","802,719,881",,,,,,,"1,688,552,252","1,689,319,004","1,689,032,715","1,698,953,282","1,693,089,858",,,,,,,"319,580,869","319,753,407","319,675,020","313,679,382","315,842,371",,,,,,,"2,008,133,121","2,009,072,410","2,008,707,735","2,012,632,665","2,008,932,228",,,,,
Sudan,LIC,SDN,522,,"107,204,589","107,121,327","107,169,983","106,979,338","107,197,903",,,,,,,"5,588,933,144","5,586,014,335","5,587,653,618","4,297,270,461","5,578,022,325",,,,,,,"9,294,242,253","9,296,393,556","9,295,203,602","9,318,426,746","9,305,058,983",,,,,,,"1,519,965,531","1,520,839,216","1,520,292,769","1,504,109,572","1,509,464,103",,,,,,,"10,814,207,784","10,817,232,772","10,815,496,371","10,822,536,318","10,814,523,086",,,,,
Syrian Arab Republic,LIC,SYR,153,,"27,744,123","27,717,269","27,724,833","27,633,485","27,741,651",,,,,,,"1,094,518,050","1,093,768,796","1,093,877,739","863,657,001","1,090,926,378",,,,,,,"2,392,125,960","2,392,791,375","2,392,663,142","2,401,231,982","2,395,692,702",,,,,,,"397,036,043","397,258,396","397,173,716","391,688,546","393,564,254",,,,,,,"2,789,162,003","2,790,049,771","2,789,836,858","2,792,920,528","2,789,256,956",,,,,
Tajikistan,LIC,TJK,39,,"19,726,778","19,720,400","19,720,474","19,683,705","19,720,563",,,,,,,"791,215,316","790,868,408","790,862,034","589,376,329","789,180,566",,,,,,,"1,971,144,219","1,971,429,728","1,971,436,108","1,976,046,846","1,973,094,156",,,,,,,"260,054,213","260,124,655","260,093,119","257,421,090","258,431,706",,,,,,,"2,231,198,432","2,231,554,384","2,231,529,227","2,233,467,936","2,231,525,862",,,,,
Thailand,UMIC,THA,18,,"66,173,681","66,092,988","66,136,338","65,901,552","66,146,218",,,,,,,"2,080,686,505","2,079,189,510","2,079,816,710","2,064,297,671","2,073,971,007",,,,,,,"4,167,327,346","4,168,597,486","4,168,075,428","4,182,797,810","4,173,913,283",,,,,,,"812,005,794","812,371,080","812,198,868","803,243,990","806,289,663",,,,,,,"4,979,333,140","4,980,968,565","4,980,274,295","4,986,041,800","4,980,202,946",,,,,
Togo,LIC,TGO,218,,"23,036,552","23,035,845","23,036,030","23,029,925","23,034,149",,,,,,,"1,181,182,549","1,181,073,676","1,181,130,911","848,042,250","1,180,452,158",,,,,,,"1,773,564,567","1,773,667,666","1,773,610,760","1,775,009,503","1,774,256,825",,,,,,,"277,766,239","277,793,652","277,775,210","276,980,032","277,267,205",,,,,,,"2,051,330,806","2,051,461,317","2,051,385,970","2,051,989,535","2,051,524,030",,,,,
Turkey,UMIC,TUR,155,,"96,677,591","96,575,535","96,616,297","96,255,413","96,639,359",,,,,,,"3,217,336,091","3,214,869,233","3,215,465,084","3,188,220,293","3,206,456,715",,,,,,,"7,210,197,871","7,212,517,990","7,211,862,861","7,238,139,120","7,220,961,097",,,,,,,"1,368,572,371","1,369,308,752","1,369,005,344","1,354,022,535","1,358,936,800",,,,,,,"8,578,770,243","8,581,826,742","8,580,868,205","8,592,161,656","8,579,897,897",,,,,
Uganda,LIC,UGA,190,,"116,993,470","116,974,296","116,984,633","116,902,223","116,970,324",,,,,,,"5,647,023,365","5,645,762,259","5,646,498,996","4,151,601,432","5,640,550,105",,,,,,,"9,593,749,613","9,594,768,947","9,594,174,791","9,606,929,619","9,599,976,939",,,,,,,"1,535,197,767","1,535,504,324","1,535,293,946","1,527,721,868","1,530,425,423",,,,,,,"11,128,947,380","11,130,273,270","11,129,468,737","11,134,651,487","11,130,402,362",,,,,
Ukraine,LMIC,UKR,63,,"50,273,011","50,262,419","50,255,266","50,190,163","50,278,003",,,,,,,"1,428,448,256","1,427,888,262","1,427,474,123","1,420,010,028","1,426,565,324",,,,,,,"2,404,603,732","2,405,183,801","2,405,589,633","2,413,108,794","2,406,470,551",,,,,,,"425,661,325","425,897,287","425,984,859","423,183,591","423,504,612",,,,,,,"2,830,265,057","2,831,081,088","2,831,574,492","2,836,292,385","2,829,975,164",,,,,
United Republic of Tanzania,LMIC,TZA,189,,"177,332,272","177,305,095","177,321,354","177,190,822","177,288,452",,,,,,,"9,504,625,254","9,503,125,892","9,504,043,476","9,488,034,377","9,496,963,667",,,,,,,"18,293,770,700","18,294,821,150","18,294,193,763","18,308,278,955","18,300,782,561",,,,,,,"2,681,517,827","2,681,791,336","2,681,589,154","2,673,514,603","2,676,502,407",,,,,,,"20,975,288,527","20,976,612,485","20,975,782,917","20,981,793,558","20,977,284,968",,,,,
Uzbekistan,LMIC,UZB,41,,"50,838,189","50,824,047","50,825,276","50,743,286","50,822,935",,,,,,,"1,721,837,615","1,721,104,001","1,721,081,570","1,709,692,346","1,717,089,884",,,,,,,"3,573,816,303","3,574,544,660","3,574,537,283","3,585,639,083","3,578,449,895",,,,,,,"552,620,393","552,800,691","552,720,418","546,870,094","549,037,191",,,,,,,"4,126,436,695","4,127,345,350","4,127,257,701","4,132,509,177","4,127,487,086",,,,,
Viet Nam,LMIC,VNM,20,,"110,637,846","110,540,707","110,593,068","110,217,632","110,550,232",,,,,,,"3,876,820,199","3,874,779,605","3,875,628,541","3,852,176,828","3,866,294,416",,,,,,,"8,301,069,036","8,302,751,276","8,302,064,437","8,323,909,296","8,311,187,998",,,,,,,"1,413,619,497","1,413,963,307","1,413,780,089","1,401,103,173","1,405,788,636",,,,,,,"9,714,688,533","9,716,714,583","9,715,844,525","9,725,012,469","9,716,976,634",,,,,
Yemen,LIC,YEM,157,,"58,799,356","58,786,224","58,789,094","58,737,530","58,795,333",,,,,,,"2,436,877,908","2,436,248,525","2,436,332,745","1,779,274,786","2,432,805,889",,,,,,,"4,387,502,271","4,388,154,553","4,388,018,048","4,397,271,459","4,391,518,321",,,,,,,"670,682,341","670,883,656","670,782,080","664,641,602","666,904,947",,,,,,,"5,058,184,612","5,059,038,209","5,058,800,128","5,061,913,062","5,058,423,268",,,,,
