,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119
DsFreeSus,"35,610,038","36,508,364","37,404,452","38,299,155","39,192,782","40,085,490","40,977,161","41,866,833","42,753,539","43,635,972","44,512,982","45,383,131","46,244,831","47,097,922","47,941,928","48,776,607","49,601,371","50,415,523","51,218,415","52,009,306","52,787,571","53,552,366","54,302,157","55,036,697","55,754,766","56,455,407","57,137,870","57,801,772","58,446,934","59,073,056","59,680,802","60,280,619","60,869,982","61,449,699","62,018,560","62,575,815","63,120,833","63,652,799","64,171,276","64,675,428","65,165,364","65,639,966","66,098,670","66,541,436","66,967,384","67,376,228","67,768,019","68,142,444","68,499,316","68,838,069","69,158,691","69,460,437","69,743,674","70,008,901","70,256,039","70,485,856","70,699,306","70,897,352","71,080,858","71,249,964","71,406,555","71,550,607","71,682,896","71,804,294","71,914,521","72,014,563","72,105,643","72,188,797","72,264,769","72,332,639","72,395,590","72,452,732","72,503,936","72,550,343","72,591,247","72,626,691","72,657,511","72,683,420","72,705,318","72,723,677","72,738,551","72,748,688","72,754,656","72,756,944","72,755,999","72,752,235","72,746,044","72,737,811","72,727,907","72,716,692","72,704,508","72,691,794","72,678,853","72,665,939","72,653,259","72,640,967","72,629,175","72,617,963","72,607,378","72,597,443","72,588,154"
Deceased,"229,237","230,101","231,086","232,438","234,285","236,323","237,981","239,824","241,840","244,067","246,210","248,764","251,729","254,373","257,301","260,480","263,934","267,659","271,643","275,862","280,298","285,124","291,368","296,822","302,711","308,884","315,349","322,077","329,088","336,344","343,716","355,458","369,072","381,557","394,743","408,282","422,222","436,586","451,313","466,448","481,673","497,554","513,696","529,899","546,945","564,008","580,932","597,968","615,323","633,504","651,491","670,458","689,506","708,564","728,716","748,528","767,779","786,403","804,611","823,675","840,171","857,282","873,575","888,759","904,950","920,209","933,958","946,440","957,857","970,738","978,694","988,113","997,289","1,004,328","1,012,217","1,019,920","1,026,250","1,032,969","1,038,228","1,042,715","1,047,141","1,053,578","1,059,154","1,063,977","1,068,164","1,071,824","1,075,033","1,077,812","1,080,174","1,082,134","1,083,712","1,084,760","1,085,453","1,085,825","1,085,914","1,085,771","1,085,444","1,084,959","1,084,339","1,083,604","1,082,773"
DsFreeSus -> DiabetesEpsd,"98,656","102,395","106,553","110,667","115,029","119,413","123,900","128,487","133,149","138,030","142,960","148,083","153,303","158,674","164,349","170,108","175,986","181,958","187,941","194,011","200,176","206,636","213,011","219,687","226,713","233,874","241,152","248,348","255,554","263,059","270,039","277,113","284,046","290,823","297,810","304,777","311,545","318,184","324,566","330,992","336,820","342,785","348,548","353,891","359,071","364,067","368,761","373,355","377,647","381,633","385,506","389,377","393,016","396,412","399,452","402,260","404,890","407,387","409,739","411,789","413,922","415,796","417,488","419,092","420,415","421,547","422,580","423,449","424,242","424,867","425,468","425,779","426,038","426,293","426,465","426,573","426,652","426,659","426,644","426,599","426,510","426,316","426,150","426,009","425,891","425,791","425,706","425,634","425,574","425,526","425,489","425,462","425,432","425,400","425,369","425,338","425,309","425,284","425,265","425,253","425,249"
DiabetesEpsd,"1,373,038","1,424,653","1,479,036","1,536,001","1,595,632","1,657,801","1,722,478","1,789,667","1,859,336","1,931,612","2,006,523","2,084,114","2,164,595","2,248,112","2,334,803","2,424,583","2,517,407","2,613,243","2,711,953","2,813,504","2,917,876","3,025,227","3,135,096","3,247,969","3,364,006","3,483,180","3,605,448","3,730,603","3,858,512","3,989,369","4,122,539","4,257,579","4,393,468","4,530,510","4,668,650","4,807,699","4,947,293","5,087,171","5,226,927","5,366,484","5,505,147","5,642,860","5,779,340","5,914,101","6,046,710","6,176,978","6,304,648","6,429,633","6,551,551","6,669,864","6,784,562","6,895,393","7,002,124","7,104,540","7,202,003","7,294,484","7,382,107","7,465,088","7,543,548","7,617,016","7,686,501","7,751,581","7,812,347","7,869,100","7,921,281","7,969,088","8,013,037","8,053,479","8,090,766","8,124,330","8,155,716","8,184,134","8,209,608","8,232,805","8,253,380","8,271,368","8,287,225","8,300,812","8,312,606","8,322,834","8,331,487","8,337,851","8,342,282","8,345,075","8,346,476","8,346,696","8,345,917","8,344,311","8,342,045","8,339,275","8,336,152","8,332,853","8,329,485","8,326,136","8,322,884","8,319,790","8,316,902","8,314,263","8,311,911","8,309,879","8,308,194"
DiabetesEpsd -> Deceased,"4,395","4,549","4,698","4,854","5,022","5,204","5,398","5,602","5,817","6,042","6,274","6,511","6,765","7,019","7,291","7,581","7,887","8,206","8,541","8,888","9,249","9,619","10,030","10,443","10,882","11,341","11,817","12,308","12,814","13,336","13,872","14,424","15,024","15,623","16,256","16,908","17,572","18,244","18,921","19,612","20,298","21,003","21,720","22,449","23,211","23,981","24,745","25,499","26,242","26,996","27,704","28,422","29,132","29,825","30,536","31,232","31,895","32,526","33,117","33,700","34,206","34,717","35,203","35,653","36,107","36,535","36,922","37,279","37,600","37,917","38,162","38,427","38,676","38,890","39,105","39,307","39,482","39,651","39,791","39,913","40,025","40,149","40,251","40,333","40,400","40,452","40,491","40,518","40,534","40,539","40,534","40,519","40,501","40,480","40,458","40,434","40,409","40,383","40,356","40,329","40,301"
DiabetesEpsd -> DiabeticRetinopathy,"1,357","1,403","1,454","1,506","1,563","1,622","1,685","1,750","1,817","1,888","1,961","2,036","2,118","2,202","2,291","2,385","2,482","2,583","2,688","2,797","2,909","3,027","3,148","3,274","3,406","3,543","3,684","3,829","3,977","4,130","4,285","4,446","4,610","4,778","4,952","5,129","5,310","5,492","5,675","5,861","6,044","6,228","6,412","6,595","6,779","6,962","7,142","7,319","7,491","7,664","7,825","7,984","8,138","8,284","8,425","8,559","8,685","8,806","8,919","9,023","9,123","9,221","9,314","9,401","9,481","9,555","9,624","9,687","9,746","9,801","9,851","9,896","9,937","9,975","10,009","10,039","10,065","10,088","10,108","10,125","10,139","10,151","10,159","10,165","10,168","10,169","10,169","10,167","10,163","10,158","10,152","10,145","10,138","10,132","10,126","10,121","10,117","10,113","10,110","10,108","10,107"
DiabeticRetinopathy,"33,042","32,364","31,788","31,301","30,894","30,558","30,286","30,078","29,929","29,835","29,797","29,810","29,926","30,135","30,429","30,802","31,247","31,766","32,353","33,008","33,728","34,514","35,379","36,329","37,357","38,459","39,632","40,880","42,201","43,592","45,052","46,576","48,151","49,791","51,491","53,246","55,050","56,911","58,820","60,773","62,761","64,777","66,820","68,883","70,955","73,032","75,109","77,182","79,244","81,287","83,297","85,265","87,183","89,039","90,817","92,515","94,131","95,671","97,133","98,506","99,811","101,043","102,204","103,297","104,307","105,236","106,096","106,897","107,646","108,328","108,983","109,593","110,155","110,683","111,164","111,598","111,993","112,343","112,659","112,945","113,200","113,403","113,560","113,677","113,758","113,807","113,828","113,822","113,793","113,746","113,682","113,605","113,521","113,432","113,341","113,252","113,166","113,085","113,013","112,950","112,898"
DiabeticRetinopathy -> Deceased,"1,087","1,087","1,065","1,049","1,038","1,032","1,031","1,030","1,032","1,038","1,046","1,055","1,052","1,053","1,060","1,071","1,088","1,104","1,125","1,148","1,174","1,202","1,229","1,257","1,290","1,328","1,370","1,411","1,456","1,505","1,556","1,610","1,668","1,726","1,790","1,857","1,927","1,997","2,070","2,146","2,224","2,306","2,390","2,477","2,570","2,665","2,762","2,858","2,954","3,052","3,148","3,246","3,344","3,442","3,543","3,642","3,738","3,828","3,914","4,000","4,074","4,148","4,218","4,283","4,350","4,414","4,471","4,524","4,571","4,619","4,654","4,694","4,732","4,765","4,799","4,831","4,860","4,888","4,911","4,933","4,952","4,975","4,994","5,010","5,022","5,033","5,041","5,048","5,052","5,055","5,055","5,055","5,053","5,050","5,046","5,042","5,037","5,032","5,027","5,021","5,016"
DiabetesEpsd -> LowerExtrmAmpt,"2,288","2,377","2,455","2,539","2,628","2,723","2,826","2,936","3,053","3,176","3,299","3,420","3,559","3,688","3,823","3,965","4,115","4,272","4,435","4,604","4,777","4,945","5,150","5,337","5,529","5,726","5,929","6,138","6,354","6,570","6,804","7,047","7,307","7,572","7,850","8,136","8,428","8,723","9,026","9,332","9,648","9,973","10,305","10,656","11,034","11,420","11,811","12,195","12,580","12,984","13,350","13,720","14,086","14,440","14,817","15,188","15,538","15,870","16,179","16,498","16,751","17,019","17,275","17,500","17,731","17,952","18,147","18,337","18,502","18,658","18,790","18,950","19,100","19,234","19,363","19,485","19,595","19,700","19,793","19,877","19,956","20,033","20,097","20,150","20,191","20,223","20,247","20,261","20,268","20,266","20,257","20,241","20,224","20,206","20,187","20,167","20,147","20,127","20,105","20,083","20,060"
LowerExtrmAmpt,"20,642","21,457","22,307","23,191","24,108","25,058","26,042","27,065","28,128","29,233","30,381","31,562","32,817","34,131","35,502","36,928","38,409","39,945","41,536","43,179","44,874","46,610","48,419","50,285","52,201","54,164","56,171","58,223","60,320","62,454","64,640","66,879","69,135","71,444","73,805","76,215","78,670","81,168","83,708","86,287","88,908","91,567","94,267","97,017","99,827","102,697","105,626","108,600","111,608","114,657","117,693","120,702","123,671","126,576","129,417","132,190","134,875","137,467","139,951","142,332","144,578","146,707","148,723","150,606","152,348","153,959","155,445","156,837","158,133","159,295","160,406","161,477","162,497","163,489","164,429","165,310","166,148","166,930","167,675","168,388","169,065","169,658","170,175","170,619","170,994","171,302","171,545","171,726","171,848","171,913","171,926","171,890","171,814","171,706","171,575","171,425","171,262","171,091","170,917","170,742","170,572"
