,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119
DsFreeSus,"35,610,038","36,508,364","37,404,452","38,299,155","39,192,782","40,085,490","40,977,161","41,866,833","42,753,539","43,635,972","44,512,982","45,383,131","46,244,831","47,097,922","47,941,928","48,776,607","49,601,371","50,415,523","51,218,415","52,009,306","52,787,571","53,552,366","54,302,157","55,036,697","55,754,766","56,455,407","57,137,870","57,801,772","58,446,934","59,073,056","59,680,802","60,280,619","60,869,982","61,449,699","62,018,560","62,575,815","63,120,833","63,652,799","64,171,276","64,675,428","65,165,364","65,639,966","66,098,670","66,541,436","66,967,384","67,376,228","67,768,019","68,142,444","68,499,316","68,838,069","69,158,691","69,460,437","69,743,674","70,008,901","70,256,039","70,485,856","70,699,306","70,897,352","71,080,858","71,249,964","71,406,555","71,550,607","71,682,896","71,804,294","71,914,521","72,014,563","72,105,643","72,188,797","72,264,769","72,332,639","72,395,590","72,452,732","72,503,936","72,550,343","72,591,247","72,626,691","72,657,511","72,683,420","72,705,318","72,723,677","72,738,551","72,748,688","72,754,656","72,756,944","72,755,999","72,752,235","72,746,044","72,737,811","72,727,907","72,716,692","72,704,508","72,691,794","72,678,853","72,665,939","72,653,259","72,640,967","72,629,175","72,617,963","72,607,378","72,597,443","72,588,154"
Deceased,"229,237","230,101","231,085","232,435","234,279","236,314","237,968","239,806","241,817","244,038","246,174","248,720","251,677","254,313","257,232","260,401","263,845","267,559","271,531","275,739","280,161","284,974","291,203","296,643","302,517","308,674","315,123","321,834","328,826","336,063","343,416","355,136","368,726","381,187","394,349","407,861","421,775","436,111","450,809","465,914","481,108","496,957","513,067","529,236","546,247","563,274","580,161","597,161","614,478","632,621","650,567","669,491","688,495","707,505","727,607","747,368","766,566","785,139","803,296","822,308","838,755","855,818","872,064","887,203","903,346","918,557","932,263","944,703","956,083","968,920","976,849","986,239","995,387","1,002,405","1,010,269","1,017,947","1,024,258","1,030,954","1,036,196","1,040,667","1,045,078","1,051,493","1,057,049","1,061,855","1,066,026","1,069,671","1,072,866","1,075,633","1,077,983","1,079,933","1,081,503","1,082,544","1,083,230","1,083,598","1,083,683","1,083,537","1,083,209","1,082,723","1,082,103","1,081,369","1,080,539"
DsFreeSus -> DiabetesEpsd,"98,656","102,395","106,553","110,667","115,029","119,413","123,900","128,487","133,149","138,030","142,960","148,083","153,303","158,674","164,349","170,108","175,986","181,958","187,941","194,011","200,176","206,636","213,011","219,687","226,713","233,874","241,152","248,348","255,554","263,059","270,039","277,113","284,046","290,823","297,810","304,777","311,545","318,184","324,566","330,992","336,820","342,785","348,548","353,891","359,071","364,067","368,761","373,355","377,647","381,633","385,506","389,377","393,016","396,412","399,452","402,260","404,890","407,387","409,739","411,789","413,922","415,796","417,488","419,092","420,415","421,547","422,580","423,449","424,242","424,867","425,468","425,779","426,038","426,293","426,465","426,573","426,652","426,659","426,644","426,599","426,510","426,316","426,150","426,009","425,891","425,791","425,706","425,634","425,574","425,526","425,489","425,462","425,432","425,400","425,369","425,338","425,309","425,284","425,265","425,253","425,249"
DiabetesEpsd,"1,373,038","1,420,771","1,471,272","1,524,349","1,580,081","1,638,333","1,699,073","1,762,300","1,827,979","1,896,233","1,967,085","2,040,577","2,116,907","2,196,213","2,278,630","2,364,069","2,452,484","2,543,838","2,637,992","2,734,908","2,834,566","2,937,121","3,042,116","3,150,023","3,261,001","3,375,026","3,492,051","3,611,867","3,734,339","3,859,660","3,987,192","4,116,507","4,246,626","4,377,825","4,510,061","4,643,153","4,776,745","4,910,579","5,044,261","5,177,719","5,310,269","5,441,867","5,572,238","5,700,905","5,827,458","5,951,716","6,073,430","6,192,521","6,308,622","6,421,218","6,530,311","6,635,677","6,737,098","6,834,373","6,926,899","7,014,652","7,097,758","7,176,429","7,250,787","7,320,379","7,386,183","7,447,791","7,505,294","7,558,983","7,608,331","7,653,524","7,695,056","7,733,254","7,768,453","7,800,124","7,829,716","7,856,469","7,880,413","7,902,179","7,921,447","7,938,254","7,953,033","7,965,657","7,976,576","7,986,005","7,993,940","7,999,712","8,003,664","8,006,079","8,007,195","8,007,212","8,006,306","8,004,641","8,002,375","7,999,656","7,996,626","7,993,453","7,990,234","7,987,052","7,983,977","7,981,065","7,978,359","7,975,897","7,973,714","7,971,838","7,970,293"
DiabetesEpsd -> Deceased,"4,395","4,544","4,680","4,823","4,978","5,146","5,327","5,516","5,717","5,927","6,144","6,366","6,604","6,842","7,097","7,370","7,659","7,959","8,275","8,603","8,944","9,293","9,683","10,074","10,490","10,925","11,377","11,843","12,323","12,819","13,328","13,852","14,422","14,991","15,593","16,212","16,844","17,482","18,126","18,783","19,434","20,104","20,785","21,477","22,200","22,931","23,656","24,371","25,075","25,789","26,459","27,138","27,809","28,464","29,136","29,792","30,418","31,012","31,570","32,119","32,594","33,076","33,533","33,956","34,383","34,786","35,149","35,485","35,786","36,084","36,314","36,562","36,796","36,997","37,199","37,388","37,552","37,709","37,840","37,954","38,058","38,173","38,267","38,343","38,404","38,452","38,487","38,511","38,525","38,528","38,522","38,507","38,489","38,469","38,447","38,424","38,401","38,376","38,351","38,325","38,299"
DiabetesEpsd -> DiabeticRetinopathy,"1,357","1,149","1,187","1,227","1,270","1,316","1,364","1,413","1,465","1,519","1,576","1,634","1,698","1,763","1,832","1,904","1,980","2,058","2,140","2,225","2,313","2,405","2,499","2,597","2,701","2,808","2,918","3,032","3,147","3,267","3,389","3,515","3,644","3,775","3,911","4,050","4,192","4,335","4,478","4,624","4,767","4,911","5,055","5,197","5,342","5,485","5,626","5,763","5,898","6,033","6,158","6,282","6,402","6,516","6,625","6,730","6,827","6,922","7,009","7,090","7,168","7,244","7,315","7,383","7,446","7,503","7,556","7,605","7,651","7,694","7,732","7,767","7,799","7,828","7,854","7,877","7,897","7,915","7,930","7,943","7,954","7,962","7,968","7,972","7,975","7,976","7,975","7,973","7,970","7,966","7,961","7,955","7,950","7,945","7,941","7,937","7,934","7,931","7,929","7,927","7,926"
DiabeticRetinopathy,"33,042","32,119","31,299","30,570","29,919","29,340","28,824","28,371","27,976","27,634","27,347","27,109","26,970","26,920","26,950","27,054","27,225","27,464","27,767","28,130","28,552","29,033","29,588","30,219","30,919","31,686","32,514","33,408","34,366","35,386","36,465","37,598","38,779","40,016","41,305","42,641","44,020","45,448","46,918","48,427","49,965","51,528","53,115","54,720","56,335","57,955","59,577","61,196","62,808","64,406","65,980","67,520","69,022","70,475","71,868","73,198","74,463","75,669","76,815","77,891","78,913","79,879","80,789","81,645","82,436","83,165","83,839","84,467","85,054","85,588","86,102","86,580","87,020","87,433","87,810","88,149","88,458","88,731","88,978","89,201","89,399","89,556","89,678","89,768","89,830","89,867","89,881","89,875","89,851","89,812","89,761","89,701","89,634","89,563","89,492","89,421","89,354","89,291","89,234","89,185","89,144"
DiabeticRetinopathy -> Deceased,"1,087","1,083","1,055","1,031","1,013","1,000",991,982,977,974,974,975,963,956,954,957,964,971,982,995,"1,011","1,028","1,043","1,060","1,082","1,108","1,137","1,166","1,197","1,232","1,269","1,308","1,351","1,394","1,441","1,492","1,545","1,597","1,653","1,710","1,770","1,833","1,898","1,965","2,037","2,111","2,186","2,260","2,335","2,411","2,486","2,563","2,639","2,715","2,794","2,871","2,946","3,017","3,084","3,151","3,209","3,266","3,321","3,372","3,425","3,474","3,519","3,560","3,597","3,634","3,662","3,693","3,723","3,748","3,775","3,800","3,823","3,844","3,863","3,879","3,895","3,912","3,927","3,939","3,949","3,957","3,964","3,969","3,972","3,974","3,975","3,974","3,972","3,970","3,967","3,964","3,960","3,956","3,952","3,947","3,943"
DiabetesEpsd -> LowerExtrmAmpt,"2,288","2,374","2,445","2,522","2,604","2,693","2,788","2,891","3,001","3,116","3,232","3,345","3,476","3,597","3,724","3,858","3,999","4,146","4,301","4,460","4,623","4,782","4,976","5,153","5,334","5,520","5,712","5,910","6,114","6,317","6,538","6,769","7,015","7,266","7,530","7,800","8,077","8,357","8,643","8,933","9,233","9,540","9,855","10,187","10,545","10,911","11,281","11,645","12,009","12,392","12,738","13,087","13,432","13,766","14,121","14,470","14,801","15,113","15,404","15,704","15,941","16,193","16,433","16,644","16,862","17,069","17,253","17,431","17,586","17,732","17,857","18,007","18,148","18,274","18,396","18,510","18,614","18,712","18,799","18,878","18,952","19,024","19,083","19,132","19,170","19,200","19,221","19,234","19,239","19,237","19,227","19,212","19,195","19,177","19,159","19,140","19,121","19,102","19,081","19,060","19,039"
LowerExtrmAmpt,"20,642","21,454","22,295","23,164","24,062","24,987","25,941","26,929","27,954","29,017","30,118","31,249","32,451","33,708","35,020","36,383","37,797","39,265","40,784","42,354","43,971","45,629","47,357","49,138","50,968","52,842","54,758","56,718","58,720","60,758","62,845","64,983","67,136","69,341","71,597","73,898","76,242","78,628","81,054","83,517","86,020","88,559","91,137","93,763","96,446","99,186","101,981","104,819","107,688","110,596","113,490","116,358","119,186","121,951","124,655","127,293","129,847","132,311","134,671","136,932","139,065","141,085","142,997","144,784","146,435","147,963","149,372","150,691","151,919","153,021","154,075","155,091","156,058","156,999","157,890","158,725","159,519","160,260","160,964","161,639","162,278","162,839","163,326","163,744","164,095","164,383","164,610","164,778","164,889","164,948","164,956","164,918","164,842","164,737","164,609","164,464","164,308","164,144","163,977","163,811","163,649"
