,,,,,Deaths,,,,DALYs,,,,HYL,,,,YLD,,,,Prevalence,,
Country Name,Income Status,ISO3,GBD Code,,CRNullCOPD,CR2,CR4,,Null,CR2,CR4,,Null,CR1,CR3,,Null,CR1,CR3,,Null,CR1,CR3
Ghana,LMIC,GHA,207,,"70,294,085","70,294,085","70,294,085",,"3,219,386,945","3,218,053,841","3,212,439,585",,"5,503,678,883","5,505,011,987","5,510,626,243",,"904,188,464","902,855,360","897,241,104",,"6,407,867,347","6,407,867,347","6,407,867,347"
Guatemala,UMIC,GTM,128,,"24,689,412","24,689,412","24,689,412",,"955,980,095","955,606,420","954,482,432",,"2,410,772,091","2,411,145,766","2,412,269,754",,"318,634,491","318,260,816","317,136,828",,"2,729,406,582","2,729,406,582","2,729,406,582"
Guinea,LIC,GIN,208,,"38,606,701","38,606,701","38,606,701",,"2,007,216,649","2,006,441,921","2,003,285,898",,"3,025,650,651","3,026,425,379","3,029,581,402",,"473,643,075","472,868,346","469,712,324",,"3,499,293,726","3,499,293,726","3,499,293,726"
Guinea-Bissau,LIC,GNB,209,,"5,506,099","5,506,099","5,506,099",,"280,002,688","279,900,932","279,486,381",,"392,220,922","392,322,678","392,737,228",,"61,625,795","61,524,039","61,109,488",,"453,846,717","453,846,717","453,846,717"
Haiti,LIC,HTI,114,,"19,086,353","19,086,353","19,086,353",,"832,412,598","832,057,552","831,005,125",,"1,263,411,557","1,263,766,603","1,264,819,030",,"217,001,695","216,646,649","215,594,222",,"1,480,413,252","1,480,413,252","1,480,413,252"
India,LMIC,IND,163,,"1,949,472,633","1,949,472,633","1,949,472,633",,"70,097,397,649","70,012,057,073","69,686,949,813",,"121,199,282,157","121,284,622,732","121,609,729,993",,"22,293,960,738","22,208,620,163","21,883,512,902",,"143,493,242,895","143,493,242,895","143,493,242,895"
Indonesia,UMIC,IDN,11,,"382,637,513","382,637,513","382,637,513",,"12,733,967,642","12,723,055,334","12,684,695,972",,"26,284,526,644","26,295,438,953","26,333,798,314",,"4,085,344,922","4,074,432,614","4,036,073,252",,"30,369,871,566","30,369,871,566","30,369,871,566"
Iran (Islamic Republic of),UMIC,IRN,142,,"108,655,185","108,655,185","108,655,185",,"3,331,553,422","3,328,186,864","3,316,355,115",,"8,038,170,056","8,041,536,614","8,053,368,363",,"1,384,373,270","1,381,006,712","1,369,174,962",,"9,422,543,326","9,422,543,326","9,422,543,326"
Iraq,UMIC,IRQ,143,,"78,249,600","78,249,600","78,249,600",,"3,199,396,374","3,198,431,335","3,195,041,986",,"7,659,097,078","7,660,062,117","7,663,451,467",,"1,059,027,607","1,058,062,568","1,054,673,218",,"8,718,124,685","8,718,124,685","8,718,124,685"
Jordan,UMIC,JOR,144,,"14,321,954","14,321,954","14,321,954",,"480,169,657","479,853,696","478,742,921",,"1,139,470,665","1,139,786,625","1,140,897,400",,"186,085,363","185,769,403","184,658,628",,"1,325,556,028","1,325,556,028","1,325,556,028"
