,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119
DsFreeSus,"35,610,038","36,508,364","37,404,452","38,299,155","39,192,782","40,085,490","40,977,161","41,866,833","42,753,539","43,635,972","44,512,982","45,383,131","46,244,831","47,097,922","47,941,928","48,776,607","49,601,371","50,415,523","51,218,415","52,009,306","52,787,571","53,552,366","54,302,157","55,036,697","55,754,766","56,455,407","57,137,870","57,801,772","58,446,934","59,073,056","59,680,802","60,280,619","60,869,982","61,449,699","62,018,560","62,575,815","63,120,833","63,652,799","64,171,276","64,675,428","65,165,364","65,639,966","66,098,670","66,541,436","66,967,384","67,376,228","67,768,019","68,142,444","68,499,316","68,838,069","69,158,691","69,460,437","69,743,674","70,008,901","70,256,039","70,485,856","70,699,306","70,897,352","71,080,858","71,249,964","71,406,555","71,550,607","71,682,896","71,804,294","71,914,521","72,014,563","72,105,643","72,188,797","72,264,769","72,332,639","72,395,590","72,452,732","72,503,936","72,550,343","72,591,247","72,626,691","72,657,511","72,683,420","72,705,318","72,723,677","72,738,551","72,748,688","72,754,656","72,756,944","72,755,999","72,752,235","72,746,044","72,737,811","72,727,907","72,716,692","72,704,508","72,691,794","72,678,853","72,665,939","72,653,259","72,640,967","72,629,175","72,617,963","72,607,378","72,597,443","72,588,154"
Deceased,"229,237","230,102","231,087","232,440","234,289","236,328","237,988","239,833","241,850","244,079","246,224","248,779","251,744","254,388","257,315","260,491","263,943","267,664","271,644","275,860","280,290","285,111","291,348","296,796","302,677","308,842","315,298","322,017","329,018","336,265","343,627","355,357","368,959","381,432","394,606","408,131","422,059","436,410","451,123","466,244","481,455","497,321","513,448","529,636","546,667","563,714","580,622","597,643","614,983","633,148","651,118","670,067","689,097","708,136","728,267","748,058","767,288","785,892","804,081","823,126","839,605","856,700","872,977","888,147","904,322","919,565","933,301","945,770","957,177","970,044","977,994","987,406","996,573","1,003,607","1,011,489","1,019,185","1,025,510","1,032,222","1,037,477","1,041,959","1,046,381","1,052,811","1,058,381","1,063,200","1,067,383","1,071,039","1,074,245","1,077,022","1,079,381","1,081,340","1,082,917","1,083,965","1,084,657","1,085,030","1,085,119","1,084,977","1,084,651","1,084,167","1,083,548","1,082,815","1,081,985"
DsFreeSus -> DiabetesEpsd,"98,656","102,395","106,553","110,667","115,029","119,413","123,900","128,487","133,149","138,030","142,960","148,083","153,303","158,674","164,349","170,108","175,986","181,958","187,941","194,011","200,176","206,636","213,011","219,687","226,713","233,874","241,152","248,348","255,554","263,059","270,039","277,113","284,046","290,823","297,810","304,777","311,545","318,184","324,566","330,992","336,820","342,785","348,548","353,891","359,071","364,067","368,761","373,355","377,647","381,633","385,506","389,377","393,016","396,412","399,452","402,260","404,890","407,387","409,739","411,789","413,922","415,796","417,488","419,092","420,415","421,547","422,580","423,449","424,242","424,867","425,468","425,779","426,038","426,293","426,465","426,573","426,652","426,659","426,644","426,599","426,510","426,316","426,150","426,009","425,891","425,791","425,706","425,634","425,574","425,526","425,489","425,462","425,432","425,400","425,369","425,338","425,309","425,284","425,265","425,253","425,249"
DiabetesEpsd,"1,373,038","1,421,237","1,472,186","1,525,694","1,581,842","1,640,499","1,701,634","1,765,248","1,831,307","1,899,938","1,971,160","2,045,016","2,121,714","2,201,387","2,284,173","2,369,985","2,458,775","2,550,510","2,645,049","2,742,357","2,842,412","2,945,366","3,050,773","3,159,099","3,270,503","3,384,958","3,502,420","3,622,678","3,745,598","3,871,371","3,999,363","4,129,148","4,259,738","4,391,416","4,524,143","4,657,733","4,791,833","4,926,181","5,060,385","5,194,371","5,327,459","5,459,605","5,590,533","5,719,773","5,846,916","5,971,785","6,094,131","6,213,871","6,330,636","6,443,915","6,553,695","6,659,750","6,761,858","6,859,814","6,953,016","7,041,440","7,125,206","7,204,521","7,279,503","7,349,703","7,416,083","7,478,243","7,536,271","7,590,455","7,640,263","7,685,888","7,727,820","7,766,394","7,801,945","7,833,931","7,863,824","7,890,868","7,915,091","7,937,131","7,956,661","7,973,718","7,988,739","8,001,592","8,012,733","8,022,378","8,030,522","8,036,484","8,040,609","8,043,178","8,044,431","8,044,567","8,043,763","8,042,182","8,039,983","8,037,314","8,034,318","8,031,163","8,027,949","8,024,760","8,021,669","8,018,732","8,015,994","8,013,496","8,011,271","8,009,350","8,007,758"
DiabetesEpsd -> Deceased,"4,395","4,545","4,683","4,828","4,985","5,155","5,338","5,529","5,731","5,943","6,162","6,385","6,624","6,864","7,120","7,394","7,684","7,986","8,304","8,633","8,975","9,326","9,718","10,110","10,528","10,965","11,419","11,886","12,369","12,867","13,378","13,905","14,477","15,049","15,653","16,276","16,911","17,552","18,199","18,859","19,513","20,186","20,870","21,566","22,293","23,028","23,757","24,477","25,185","25,903","26,578","27,262","27,938","28,599","29,276","29,938","30,569","31,169","31,732","32,286","32,767","33,253","33,715","34,143","34,575","34,981","35,349","35,689","35,994","36,295","36,527","36,779","37,015","37,218","37,422","37,614","37,780","37,940","38,073","38,188","38,294","38,411","38,507","38,585","38,647","38,696","38,733","38,758","38,772","38,777","38,771","38,756","38,739","38,719","38,698","38,675","38,651","38,627","38,601","38,575","38,549"
DiabetesEpsd -> DiabeticRetinopathy,"1,357","1,401","1,449","1,498","1,550","1,606","1,665","1,726","1,790","1,856","1,925","1,996","2,074","2,154","2,238","2,327","2,420","2,516","2,616","2,720","2,827","2,940","3,055","3,175","3,302","3,433","3,568","3,707","3,849","3,995","4,144","4,298","4,456","4,616","4,783","4,953","5,126","5,301","5,477","5,655","5,830","6,007","6,183","6,357","6,534","6,709","6,881","7,050","7,215","7,380","7,534","7,686","7,834","7,973","8,107","8,235","8,356","8,471","8,579","8,678","8,774","8,868","8,956","9,039","9,116","9,186","9,252","9,312","9,368","9,421","9,468","9,511","9,550","9,585","9,618","9,646","9,671","9,693","9,712","9,728","9,741","9,752","9,760","9,765","9,768","9,769","9,769","9,766","9,763","9,758","9,752","9,745","9,739","9,733","9,727","9,723","9,719","9,715","9,713","9,711","9,710"
DiabeticRetinopathy,"33,042","32,362","31,781","31,287","30,868","30,518","30,230","30,002","29,830","29,711","29,645","29,627","29,710","29,884","30,141","30,474","30,877","31,352","31,894","32,500","33,170","33,904","34,717","35,611","36,582","37,625","38,737","39,923","41,180","42,506","43,898","45,353","46,859","48,428","50,055","51,736","53,466","55,250","57,081","58,956","60,864","62,799","64,762","66,743","68,734","70,730","72,725","74,717","76,698","78,660","80,592","82,482","84,324","86,107","87,815","89,445","90,997","92,476","93,880","95,198","96,451","97,635","98,749","99,799","100,768","101,660","102,486","103,255","103,974","104,629","105,258","105,843","106,382","106,888","107,350","107,765","108,143","108,478","108,780","109,054","109,297","109,490","109,639","109,750","109,827","109,873","109,891","109,884","109,856","109,810","109,747","109,674","109,592","109,507","109,419","109,333","109,251","109,174","109,105","109,044","108,995"
DiabeticRetinopathy -> Deceased,"1,087","1,087","1,065","1,049","1,038","1,031","1,030","1,028","1,030","1,035","1,042","1,050","1,046","1,046","1,051","1,062","1,077","1,092","1,111","1,132","1,157","1,182","1,207","1,233","1,265","1,300","1,340","1,379","1,421","1,467","1,515","1,566","1,622","1,677","1,738","1,802","1,869","1,935","2,005","2,077","2,152","2,231","2,311","2,394","2,483","2,575","2,667","2,759","2,851","2,945","3,037","3,131","3,225","3,319","3,415","3,511","3,602","3,689","3,772","3,854","3,925","3,995","4,063","4,125","4,190","4,250","4,305","4,356","4,401","4,447","4,481","4,519","4,555","4,587","4,619","4,650","4,678","4,704","4,727","4,747","4,766","4,788","4,806","4,821","4,833","4,843","4,851","4,857","4,861","4,864","4,864","4,864","4,862","4,859","4,855","4,851","4,847","4,842","4,837","4,832","4,826"
DiabetesEpsd -> LowerExtrmAmpt,"2,288","1,627","1,677","1,731","1,788","1,850","1,916","1,988","2,064","2,144","2,224","2,302","2,393","2,477","2,565","2,657","2,755","2,856","2,963","3,073","3,185","3,295","3,429","3,551","3,676","3,804","3,936","4,073","4,214","4,355","4,507","4,666","4,836","5,010","5,192","5,378","5,570","5,763","5,961","6,161","6,368","6,580","6,798","7,027","7,274","7,527","7,783","8,034","8,286","8,550","8,790","9,032","9,270","9,502","9,748","9,990","10,219","10,436","10,637","10,846","11,011","11,185","11,353","11,499","11,650","11,795","11,922","12,046","12,154","12,255","12,342","12,447","12,544","12,632","12,716","12,796","12,868","12,936","12,997","13,052","13,103","13,153","13,195","13,229","13,256","13,277","13,292","13,301","13,305","13,304","13,298","13,287","13,276","13,264","13,251","13,239","13,225","13,212","13,198","13,183","13,169"
LowerExtrmAmpt,"20,642","20,749","20,918","21,142","21,416","21,736","22,100","22,511","22,966","23,465","24,009","24,588","25,232","25,928","26,673","27,464","28,298","29,176","30,097","31,058","32,058","33,090","34,176","35,303","36,468","37,667","38,898","40,163","41,460","42,786","44,148","45,547","46,961","48,414","49,905","51,431","52,989","54,579","56,201","57,851","59,532","61,241","62,980","64,755","66,572","68,431","70,332","72,264","74,221","76,207","78,187","80,150","82,088","83,985","85,842","87,654","89,410","91,106","92,731","94,289","95,759","97,153","98,473","99,706","100,847","101,902","102,876","103,787","104,636","105,398","106,127","106,828","107,497","108,147","108,763","109,340","109,889","110,401","110,889","111,356","111,798","112,186","112,524","112,814","113,058","113,259","113,417","113,534","113,613","113,654","113,662","113,637","113,586","113,515","113,427","113,328","113,221","113,109","112,994","112,880","112,768"
