,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119
DsFreeSus,"36,926,351","37,871,358","38,816,751","39,763,213","40,711,114","41,660,498","42,611,228","43,562,359","44,512,898","45,461,656","46,407,512","47,349,027","48,285,079","49,215,592","50,140,187","51,058,504","51,969,884","52,873,606","53,768,878","54,654,932","55,531,117","56,396,735","57,249,967","58,091,018","58,918,745","59,732,133","60,530,363","61,312,941","62,079,547","62,829,985","63,564,489","64,293,129","65,012,342","65,723,455","66,425,142","67,116,448","67,796,418","68,464,103","69,118,690","69,759,270","70,385,273","70,995,399","71,588,892","72,165,240","72,723,120","73,262,045","73,781,814","74,282,015","74,762,058","75,220,864","75,658,250","76,073,134","76,465,599","76,835,821","77,183,014","77,507,889","77,811,473","78,094,960","78,359,310","78,604,141","78,832,408","79,043,677","79,238,814","79,418,966","79,583,188","79,732,679","79,869,226","79,994,306","80,109,048","80,211,830","80,307,706","80,394,913","80,473,289","80,544,719","80,608,022","80,663,228","80,711,675","80,752,862","80,788,225","80,818,473","80,843,615","80,861,498","80,873,066","80,879,115","80,880,346","80,877,386","80,870,813","80,861,190","80,849,065","80,834,963","80,819,391","80,802,984","80,786,177","80,769,345","80,752,796","80,736,768","80,721,445","80,706,967","80,693,441","80,680,939","80,669,502"
Deceased,"229,436","230,502","231,671","233,201","235,226","237,445","239,290","241,328","243,547","245,989","248,354","251,142","254,258","257,054","260,138","263,480","267,110","271,017","275,195","279,623","284,279","289,336","295,746","301,365","307,433","313,802","320,479","327,411","334,641","342,130","349,746","361,784","375,683","388,430","401,902","415,750","430,026","444,682","459,726","475,198","490,785","507,055","523,560","540,146","557,603","575,092","592,450","609,916","627,718","646,364","664,848","684,351","703,964","723,625","744,431","764,914","784,843","804,139","823,010","842,745","859,850","877,575","894,456","910,219","927,037","942,899","957,216","970,206","982,097","995,519","1,003,795","1,013,557","1,023,067","1,030,355","1,038,535","1,046,531","1,053,106","1,060,092","1,065,564","1,070,233","1,074,841","1,081,552","1,087,374","1,092,418","1,096,802","1,100,640","1,104,011","1,106,935","1,109,425","1,111,497","1,113,170","1,114,295","1,115,048","1,115,463","1,115,579","1,115,451","1,115,128","1,114,637","1,114,001","1,113,242","1,112,378"
DsFreeSus -> COPDEpsd,"26,495","27,447","28,478","29,511","30,592","31,685","32,795","33,925","35,075","36,257","37,460","38,718","40,031","41,391","42,828","44,327","45,886","47,493","49,137","50,804","52,507","54,247","56,126","58,026","60,048","62,131","64,268","66,407","68,582","70,881","73,018","75,154","77,456","79,598","81,828","84,078","86,286","88,505","90,668","92,819","94,914","97,119","99,320","101,488","103,681","105,853","107,974","110,069","112,115","114,116","116,093","118,097","120,068","122,035","124,030","125,973","127,849","129,616","131,299","132,972","134,419","135,826","137,155","138,391","139,662","140,854","141,916","142,859","143,686","144,538","145,084","145,689","146,274","146,744","147,262","147,768","148,192","148,627","148,973","149,271","149,557","149,944","150,275","150,560","150,807","151,023","151,210","151,369","151,501","151,605","151,682","151,731","151,756","151,758","151,740","151,705","151,654","151,589","151,511","151,421","151,321"
COPDEpsd,"392,150","406,370","421,240","436,720","452,805","469,459","486,658","504,391","522,642","541,416","560,737","580,617","601,222","622,599","644,774","667,753","691,538","716,141","741,546","767,730","794,695","822,443","851,008","880,469","910,879","942,238","974,536","1,007,747","1,041,847","1,076,916","1,112,757","1,149,241","1,186,137","1,223,492","1,261,289","1,299,472","1,337,926","1,376,630","1,415,456","1,454,339","1,493,163","1,531,947","1,570,656","1,609,198","1,647,464","1,685,395","1,722,936","1,760,068","1,796,683","1,832,631","1,867,860","1,902,261","1,935,743","1,968,229","1,999,558","2,029,680","2,058,579","2,086,255","2,112,697","2,137,820","2,161,724","2,184,312","2,205,599","2,225,595","2,244,171","2,261,369","2,277,281","2,292,022","2,305,657","2,318,003","2,329,502","2,340,052","2,349,667","2,358,545","2,366,606","2,373,862","2,380,443","2,386,318","2,391,621","2,396,429","2,400,748","2,404,373","2,407,372","2,409,805","2,411,727","2,413,186","2,414,230","2,414,902","2,415,247","2,415,309","2,415,131","2,414,765","2,414,247","2,413,610","2,412,885","2,412,097","2,411,268","2,410,418","2,409,566","2,408,729","2,407,924"
COPDEpsd -> Deceased,"4,352","4,544","4,702","4,869","5,051","5,246","5,456","5,677","5,912","6,158","6,407","6,660","6,913","7,164","7,433","7,721","8,031","8,353","8,696","9,054","9,424","9,795","10,219","10,630","11,067","11,526","12,007","12,500","13,015","13,548","14,102","14,666","15,304","15,924","16,578","17,255","17,949","18,646","19,358","20,084","20,825","21,594","22,378","23,191","24,055","24,939","25,829","26,711","27,597","28,509","29,388","30,288","31,191","32,098","33,054","34,008","34,938","35,830","36,684","37,549","38,300","39,060","39,790","40,473","41,179","41,857","42,477","43,052","43,572","44,099","44,496","44,928","45,340","45,693","46,056","46,405","46,713","47,017","47,277","47,510","47,730","47,987","48,211","48,408","48,579","48,728","48,855","48,962","49,049","49,116","49,164","49,193","49,210","49,217","49,214","49,203","49,183","49,156","49,122","49,081","49,034"
DsFreeSus -> Healthy Years Lived,"33,218,054","34,044,604","34,871,292","35,695,193","36,519,767","37,343,219","38,166,327","38,988,862","39,807,897","40,624,757","41,436,514","42,240,817","43,039,594","43,829,107","44,612,403","45,387,526","46,154,852","46,914,598","47,663,986","48,405,302","49,135,364","49,852,627","50,558,582","51,250,165","51,927,836","52,590,778","53,239,128","53,872,831","54,490,047","55,094,282","55,681,603","56,262,643","56,836,738","57,401,652","57,958,015","58,506,132","59,044,681","59,573,566","60,090,487","60,598,040","61,091,222","61,570,791","62,036,771","62,486,391","62,920,124","63,338,576","63,741,022","64,127,804","64,496,968","64,850,779","65,185,076","65,500,801","65,798,772","66,077,316","66,337,188","66,579,905","66,805,849","67,016,691","67,212,039","67,394,270","67,562,325","67,717,333","67,860,577","67,991,549","68,110,462","68,218,931","68,317,948","68,409,105","68,492,367","68,568,319","68,638,167","68,701,436","68,758,548","68,809,985","68,855,182","68,894,574","68,928,675","68,957,695","68,982,524","69,003,516","69,020,044","69,031,084","69,037,346","69,039,440","69,037,915","69,033,285","69,026,047","69,016,686","69,005,663","68,993,420","68,980,383","68,966,738","68,952,850","68,939,030","68,925,533","68,912,560","68,900,271","68,888,788","68,878,193","68,868,542","68,859,858"
COPDEpsd -> Healthy Years Lived,"263,491","273,006","282,960","293,289","303,996","315,057","326,492","338,256","350,339","362,762","375,549","388,694","402,336","416,437","431,038","446,134","461,770","477,920","494,567","511,713","529,365","547,451","566,086","585,241","604,975","625,295","646,233","667,739","689,788","712,461","735,598","759,041","782,752","806,650","830,776","855,113","879,620","904,260","928,912","953,622","978,215","1,002,740","1,027,168","1,051,353","1,075,300","1,099,012","1,122,468","1,145,653","1,168,428","1,190,859","1,212,739","1,234,059","1,254,781","1,274,751","1,293,949","1,312,396","1,330,081","1,347,029","1,363,150","1,378,579","1,393,159","1,406,915","1,419,887","1,431,974","1,443,165","1,453,534","1,463,118","1,472,015","1,480,181","1,487,681","1,494,567","1,500,857","1,506,616","1,511,878","1,516,624","1,520,902","1,524,746","1,528,192","1,531,308","1,534,123","1,536,579","1,538,623","1,540,297","1,541,636","1,542,675","1,543,443","1,543,971","1,544,287","1,544,422","1,544,403","1,544,259","1,544,004","1,543,662","1,543,253","1,542,796","1,542,308","1,541,802","1,541,291","1,540,788","1,540,303","1,539,848"
